catalog,Taxon_Upham_style,Genus_species,Sex,TotL,Tail,mass_g,Fl,Fdw,Fsw,Tl,Tpw,Tmw,Hl,Hdw,Hpw,Hsw,Ul,Uol,Rl,Mcl,Ppl,Mtl,Pppl,MANUS,HRI,HPI,HEB,OLI,BI,IM,PRTI,FRI,FEB,CI,TRI,PES,log_Mass,pred_data,Mass_grams,Mass_source,Loc_mode_Categorical,Loc_mode_Ordinal,Loc_Ord,Loc_Ord2,Loc_mode_Binary,Loc_bin,Loc_mode_source
AMNH244364,Caluromysiops_irrupta_DIDELPHIDAE_DIDELPHIMORPHIA,Caluromysiops_irrupta,NA,NA,NA,NA,0.673840932897841,0.7028600810224778,0.5415602456809147,0.5109214068145982,0.48276218277686367,0.3970974064987445,0.6578231712962501,0.8448303142010215,0.3760996022809737,0.6029192037582691,0.7533395592132223,0.3430957547155022,0.7848723615229094,0.2895149895581079,1.0329269738592892,NA,NA,2.5441718252341174,-0.09877258805777295,-0.27796659192422624,0.4060296895664112,-0.7879139218068576,0.5284674719127654,0.5313109712707162,-1.0186994467099095,-0.4033920983372992,0.11819882780316997,-0.8021312057892631,-0.3096775430033985,NA,0.207012765274744,F,257.48,PanTheria,A,A,A,A,Tree,1,ADW
AMNH97319,Chironectes_minimus_DIDELPHIDAE_DIDELPHIMORPHIA,Chironectes_minimus,NA,NA,NA,NA,0.7374721737285381,0.7272144636943112,0.8186780075099482,0.7406948984555115,0.4232020299717795,0.600690328300431,0.8069780230361743,0.8275368797644244,0.4662201842158973,0.6478504683392188,0.801221746944626,0.7063418721548101,0.8522367695575535,1.0127641174813684,1.1728624405775665,1.2007713197963505,0.8381518688300859,0.22345670861946337,-0.2926462575655146,-0.374536422523927,0.010417363291259057,-0.2514411233844035,0.03237177315172296,0.24187295261291442,0.424207296427417,0.2854037223337653,-0.028198499253457923,-0.11283205695338207,-0.28034292308213243,-0.7504017407462451,0.849519768340991,F,974.33,PanTheria,Saq,Is,Is,B,Ground,0,ADW
FMNH127356,Chironectes_minimus_DIDELPHIDAE_DIDELPHIMORPHIA,Chironectes_minimus,NA,NA,NA,NA,0.8423663488406308,0.7950722673848061,0.7682211375346115,0.7643959811762007,0.4526380141530513,1.0224170336533611,0.87837845632555,0.9133368589578242,0.5714726777027529,0.7577060578725628,0.9704453571716649,0.9717872047343769,0.9918934662616938,1.0306216321698685,1.2947324417968553,1.1439126919347242,0.983606212593657,0.5487751975346792,-0.20106244288916839,-0.2995249422533378,0.05078143418411235,-0.046803698954376236,0.38971346876678775,0.5993320518306473,0.18554695634906593,-0.20468352361574624,-0.1563874808753226,-0.5162129812388014,1.0443983074545171,-0.39242622961429624,0.849519768340991,F,974.33,PanTheria,Saq,Is,Is,B,Ground,0,ADW
FMNH128387,Didelphis_marsupialis_DIDELPHIDAE_DIDELPHIMORPHIA,Didelphis_marsupialis,NA,NA,NA,NA,1.1694586222732875,1.0370675864487373,1.1103334486348806,1.0656169543985246,0.7849921489007744,0.6922930178076324,1.2474386495085783,1.317256890484,1.0664693859602281,1.226153586730823,1.3198350515319568,1.185083810911245,1.2391499849191745,1.258696092627968,1.3732944386435535,0.5850325664242572,1.1803778194807184,0.06095995019820158,0.08649648817236869,0.015435646212869575,0.17017601708905528,-0.2817725878997798,-0.36254256733777585,0.8970460989401067,-0.009685794580501842,-0.1085084283494633,-0.4277429511611487,-0.7590302218077389,-0.7516743123820684,1.443504984949257,0.9231061653461231,F,1134.75,PanTheria,T,T,T,T,Ground,0,ADW
NMNH35089,Didelphis_marsupialis_DIDELPHIDAE_DIDELPHIMORPHIA,Didelphis_marsupialis,NA,NA,NA,NA,1.3174038888952408,1.2855524739857283,1.1332731644021738,1.2229243460051356,0.9488324885022696,1.0529929951706654,1.3896008908929771,1.6105326324617004,1.2567191341218047,1.3143208283872039,1.4222803668404662,1.7060931534976362,1.446608178579756,1.2127741383983996,1.3320979549592704,NA,NA,0.07975958727197842,-0.010740521980032969,0.14610395538004936,0.5772255548860666,0.6473436620137348,-0.05804532676804934,0.7173050890987233,-0.5244410481757167,-0.46302116455002423,-0.031647138052325066,-0.7800922989362955,-0.14611536006249712,NA,0.9231061653461231,F,1134.75,PanTheria,T,T,T,T,Ground,0,ADW
FMNH153786,Didelphis_virginiana_DIDELPHIDAE_DIDELPHIMORPHIA,Didelphis_virginiana,NA,NA,NA,NA,1.3075165610174748,1.2302021474436318,1.3301661982934696,1.2229407561111627,0.9968471309857532,1.028757681318512,1.3673587448400433,1.5577755665178097,1.1364695135728238,1.4042660306328498,1.4487594770231473,1.4211892001132402,1.4957885584139219,1.1078017869868921,1.231699661120968,0.5427761792531859,1.0458574305326338,0.10466148492024382,0.24984397684388074,-0.07687569918536345,0.49171631396685733,-0.06107013503674349,0.3385085254744482,0.770050440785087,-0.7730755447117673,0.17998438926373792,-0.20710326913552943,-0.7353865663301453,-0.21577360351310193,1.156387183397599,1.2931382311714623,F,2442.08,PanTheria,Sc,Sc,Sc,Sc,Tree,1,ADW
NMNH396183,Didelphis_virginiana_DIDELPHIDAE_DIDELPHIMORPHIA,Didelphis_virginiana,NA,NA,NA,NA,1.2952446729588991,1.3368623295355562,1.2336972620869227,1.1757390948178477,1.005706202179747,0.9664518671966077,1.409424381307049,1.671907770619639,1.2428515144930712,1.2705970387580585,1.4750143768058501,1.7212261334783028,1.4519178468448228,1.335961042452589,1.3666101628556804,0.6637293540511967,1.1447555093616486,-0.18452714145898103,-0.14710220305516944,0.0715173186267698,0.6958357732495911,0.5586361339434842,-0.1401407836016144,1.161249014696557,-0.269577981397527,-0.09687827612345162,0.2596834307352814,-0.8730047220278601,-0.2796203520374579,1.1022846892365863,1.2931382311714623,F,2442.08,PanTheria,Sc,Sc,Sc,Sc,Tree,1,ADW
AMNH133234,Gracilinanus_agilis_DIDELPHIDAE_DIDELPHIMORPHIA,Gracilinanus_agilis,NA,NA,NA,NA,-0.7690670101833362,-0.8336597712646578,-0.8111442290943405,-0.7802423181758869,-1.0630134561014768,-0.7227404002962835,-0.6689343338578799,-0.3735744106310572,-0.65018154005586,-0.3656722038667391,-0.6539950135420508,-1.0884891868595294,-0.5905422995256211,-0.9436308488369692,-0.5839794082461459,-1.5791303797393799,-0.7140885663732509,1.1350254866231626,0.5052603913820932,0.18803316142248555,0.5517063104920834,-0.9167736147636202,0.6237871606227371,0.37067778282801417,-0.8639408190278366,-0.3442019730444004,-0.43286269074431566,0.5210198503476378,-0.4054218974659321,2.1331714447538905,-0.9799557209103075,F,22.03,PanTheria,A,A,A,A,Tree,1,ADW
AMNH206763,Gracilinanus_marica_DIDELPHIDAE_DIDELPHIMORPHIA,Gracilinanus_marica,NA,NA,NA,NA,-0.9561639593569987,-0.9646542157125838,-0.9010083635005358,-0.9515592621360394,-1.2843022021293327,-0.8234671145350296,-0.9423366881495916,-0.7283348868115959,-1.0916700663586245,-0.6953889831179065,-0.7903229428706201,-1.4232808747646524,-0.6840949352631213,-1.0243843418226513,-0.61569718449663835,-1.7085515195002419,-0.6244898764353722,1.3304197050330182,0.3012961509297693,-0.22064558473636475,0.30759807460465804,-1.1839055536022116,1.8271466717409108,0.24600884906821066,-0.6751934126487926,-0.0736147860912207,-0.25208649278503276,0.6927254813918002,-0.287062319304315,2.976536012121428,-0.9426451466881848,F,23.8,PanTheria,A,A,A,A,Tree,1,ADW
NMNH236677,Gracilinanus_microtarsus_DIDELPHIDAE_DIDELPHIMORPHIA,Gracilinanus_microtarsus,NA,NA,NA,NA,-0.9196875787629896,-1.0673097808510739,-1.0505307895911706,-0.9018943382607086,-1.178059216984252,-1.204505857657688,-0.8432305039724336,-0.7051263601070322,-1.0946260828109684,-0.6328332394750703,-0.8392563585629433,-1.2619196462242286,-0.7506080037207589,-0.358872709659302,-0.3520441963606908,-1.710013242138753,-0.5251655086042389,-0.0757408060634209,0.23078071831402844,-0.40860909461374395,0.12956956675346845,-0.9120699310729643,0.7572927165018222,0.09653597763632044,1.0899000334584985,-0.6187190382471652,-0.7395852108679348,0.7418450510513354,-1.285992168827514,3.416475623239188,-0.8422712019895385,F,29.3,PanTheria,A,A,A,A,Tree,1,ADW
